id	symbol	chr	strand	nprots	ntrans	SV	WT	SV_prots	WT_prots	min_skipped_exon	max_skipped_exon	min_skipped_bases	max_skipped_bases
ENSG00000119688	ABCD4	14	-	18	29	74759573:74761851	74759573:74759857|74759952:74761851|74759983:74761851	ENSP00000451770|ENSP00000451993	ENSP00000349396|ENSP00000452430	1	1	95	126
ENSG00000261855	HYAL3	HG325_PATCH	-	5	5	50330948:50332141	50330948:50331064|50331154:50332141	ENSP00000458620|ENSP00000460809	ENSP00000458171|ENSP00000459478	1	1	90	90
ENSG00000145979	TBC1D7	6	-	19	21	13307978:13321140	13307978:13316803|13316941:13321140	ENSP00000343100	ENSP00000348813|ENSP00000368602|ENSP00000368609|ENSP00000394425|ENSP00000404680|ENSP00000412102|ENSP00000414292|ENSP00000417005|ENSP00000475191|ENSP00000475727	1	1	138	138
ENSG00000159079	C21orf59	21	-	8	9	33980027:33984415	33980027:33982148|33982265:33984415|33982316:33984415	ENSP00000440339	ENSP00000290155|ENSP00000371989|ENSP00000393104|ENSP00000411467	1	1	117	168
ENSG00000137872	SEMA6D	15	+	18	20	48058875:48062694	48058875:48059234|48058875:48060778|48059291:48060778|48059291:48062694|48060813:48062694|48060946:48062694	ENSP00000350770|ENSP00000374079|ENSP00000442040|ENSP00000452815	ENSP00000324857|ENSP00000346786|ENSP00000348276|ENSP00000374083|ENSP00000374084|ENSP00000446152|ENSP00000453661|ENSP00000453689	1	2	35	225
ENSG00000162493	PDPN	1	+	10	10	13933802:13940182	13933802:13936882|13937012:13940182	ENSP00000426210	ENSP00000294489|ENSP00000365225|ENSP00000365229|ENSP00000422977|ENSP00000425304|ENSP00000426063|ENSP00000426302|ENSP00000427537	1	1	130	130
ENSG00000269816	KDM5C	HG1433_PATCH	-	8	15	52960967:52967740	52960967:52961276|52960967:52963839|52961399:52963839|52963917:52967740	ENSP00000472871	ENSP00000469322|ENSP00000471752|ENSP00000472624|ENSP00000472656	1	2	78	201
ENSG00000136717	BIN1	2	-	11	14	127808820:127816587	127808820:127809831|127808820:127815049|127809939:127810998|127809939:127816587|127809939:127815049|127811022:127811481|127811589:127816587|127811589:127815049|127815178:127816587	ENSP00000315284|ENSP00000386797	ENSP00000259238|ENSP00000315388|ENSP00000315411|ENSP00000316779|ENSP00000350654|ENSP00000376760|ENSP00000376761	1	4	108	369
ENSG00000178075	GRAMD1C	3	+	8	16	113594435:113601599	113594435:113595012|113595108:113601599	ENSP00000417936	ENSP00000350881	1	1	96	96
ENSG00000151655	ITIH2	10	+	3	6	7745482:7749164	7745482:7747071|7747146:7749164	ENSP00000388826	ENSP00000351190	1	1	75	75
ENSG00000144827	ABHD10	3	+	5	6	111698051:111705111	111698051:111700631|111700815:111705111	ENSP00000418162	ENSP00000273359|ENSP00000418973	1	1	184	184
ENSG00000068654	POLR1A	2	-	4	10	86317053:86332823	86317053:86325734|86325884:86327091|86327296:86332823	ENSP00000386423|ENSP00000397321	ENSP00000263857|ENSP00000386300	2	2	355	355
ENSG00000165219	GAPVD1	9	+	14	20	128094909:128099500	128094909:128097451|128094909:128099297|128097532:128099297|128099375:128099500	ENSP00000265956|ENSP00000413082	ENSP00000297933|ENSP00000309582|ENSP00000377645|ENSP00000377664|ENSP00000377665|ENSP00000391251|ENSP00000418747|ENSP00000419063|ENSP00000419767	1	2	78	159
ENSG00000268498	HDAC8	HG1438_PATCH	-	17	20	71684582:71715006	71684582:71708783|71708892:71715006|71708892:71710779|71710857:71715006	ENSP00000469229	ENSP00000470847|ENSP00000471033|ENSP00000471156|ENSP00000472595	1	2	109	187
ENSG00000205571	SMN2	5	+	7	12	69361912:69363121	69361912:69362761|69362962:69363121	ENSP00000424282	ENSP00000370117|ENSP00000370118|ENSP00000370119|ENSP00000424799	1	1	201	201
ENSG00000163138	PACRGL	4	+	31	34	20709494:20714411	20709494:20711306|20711397:20714411	ENSP00000422499|ENSP00000425102	ENSP00000295290|ENSP00000354171|ENSP00000422425|ENSP00000422962|ENSP00000423477|ENSP00000423499|ENSP00000423536|ENSP00000423881|ENSP00000423914|ENSP00000425938	1	1	91	91
ENSG00000133606	MKRN1	7	-	14	17	140171812:140178960	140171812:140175018|140175136:140178960	ENSP00000255977|ENSP00000416369|ENSP00000417640	ENSP00000419695	1	1	118	118
ENSG00000082126	MPP4	2	-	9	11	202550774:202554925	202550774:202552014|202552095:202554925	ENSP00000387293	ENSP00000319363|ENSP00000353047|ENSP00000386580|ENSP00000387278|ENSP00000406160|ENSP00000416781|ENSP00000473500	1	1	81	81
ENSG00000262321	SRRM3	HG1257_PATCH	+	3	6	75748059:75750572	75748059:75750212|75748059:75748481|75748560:75750572|75750213:75750572	ENSP00000460576	ENSP00000458186|ENSP00000458336	1	1	1	79
ENSG00000015479	MATR3	5	+	28	46	138661352:138665034	138661352:138661852|138661974:138665034	ENSP00000426743	ENSP00000354346|ENSP00000378279|ENSP00000378284|ENSP00000421218|ENSP00000422319|ENSP00000423533|ENSP00000423587|ENSP00000426030	1	1	122	122
ENSG00000115318	LOXL3	2	-	7	10	74763599:74777312	74763599:74763836|74764056:74776496|74776711:74777312	ENSP00000377512|ENSP00000386545	ENSP00000264094|ENSP00000386696|ENSP00000387103	2	2	435	435
ENSG00000072134	EPN2	17	+	18	29	19187028:19213198	19187028:19188933|19189104:19213198	ENSP00000261495|ENSP00000378982|ENSP00000378990|ENSP00000459542	ENSP00000320543|ENSP00000378988	1	1	171	171
ENSG00000138640	FAM13A	4	-	12	23	89689211:89827530	89689211:89702316|89702503:89708904|89709084:89711737|89711779:89726162|89726204:89772171|89772335:89827530	ENSP00000421914	ENSP00000264344	5	5	615	615
ENSG00000147852	VLDLR	9	+	3	4	2639982:2643160	2639982:2641377|2641500:2643160	ENSP00000371528	ENSP00000371531|ENSP00000371532	1	1	123	123
ENSG00000152147	GEMIN6	2	+	3	3	39006261:39008659	39006261:39006400|39006468:39008659|39006584:39008659	ENSP00000281950	ENSP00000386613|ENSP00000387191	1	1	68	184
ENSG00000108406	DHX40	17	+	8	11	57644156:57650477	57644156:57647879|57648025:57650477	ENSP00000462702	ENSP00000251241|ENSP00000462686	1	1	146	146
ENSG00000166796	LDHC	11	+	10	10	18460193:18472510	18460193:18467757|18467881:18472510	ENSP00000439060|ENSP00000443414	ENSP00000280704|ENSP00000437783|ENSP00000439555	1	1	124	124
ENSG00000196586	MYO6	6	+	5	6	76602408:76617322	76602408:76604531|76602408:76604948|76604558:76604948|76604978:76617322|76604978:76608090|76608129:76617322	ENSP00000358992|ENSP00000359002	ENSP00000358994|ENSP00000399406	2	2	57	69
ENSG00000156535	CD109	6	+	3	4	74433003:74446106	74433003:74440067|74440298:74446106	ENSP00000404475	ENSP00000287097|ENSP00000388062	1	1	231	231
ENSG00000006715	VPS41	7	-	9	14	38908854:38948754	38908854:38937691|38937730:38948754	ENSP00000411919	ENSP00000265745|ENSP00000309457|ENSP00000379297	1	1	39	39
ENSG00000120318	ARAP3	5	-	4	6	141041357:141044489	141041357:141041610|141041823:141044489	ENSP00000421826	ENSP00000239440|ENSP00000421468	1	1	213	213
ENSG00000115204	MPV17	2	-	14	22	27532850:27535082	27532850:27534767|27534820:27535082	ENSP00000383955	ENSP00000233545|ENSP00000349713|ENSP00000369383|ENSP00000384586|ENSP00000385175|ENSP00000406441|ENSP00000411574	1	1	53	53
ENSG00000078674	PCM1	8	+	8	23	17838265:17842956	17838265:17840742|17840799:17842956	ENSP00000327077|ENSP00000431099	ENSP00000328332|ENSP00000429054	1	1	57	57
ENSG00000215883	CYB5RL	1	-	11	13	54653413:54661092	54653413:54656421|54653413:54656411|54653413:54656421|54656570:54661092	ENSP00000394709|ENSP00000403021	ENSP00000287899|ENSP00000409075|ENSP00000431428|ENSP00000434343|ENSP00000438151|ENSP00000443797	1	1	149	159
ENSG00000184381	PLA2G6	22	-	17	28	38539296:38565225	38539296:38541445|38541661:38565225	ENSP00000395464	ENSP00000333142|ENSP00000335149|ENSP00000386100	1	1	216	216
ENSG00000124782	RREB1	6	+	8	9	7232141:7246657	7232141:7240671|7240836:7246657	ENSP00000305560|ENSP00000369265	ENSP00000369270	1	1	165	165
ENSG00000104812	GYS1	19	-	6	10	49490643:49496252	49490643:49494559|49494741:49496252	ENSP00000437922|ENSP00000445197	ENSP00000317904	1	1	182	182
ENSG00000146350	TBC1D32	6	-	5	9	121482203:121526221	121482203:121491551|121491674:121526221	ENSP00000381270	ENSP00000275159	1	1	123	123
ENSG00000198464	ZNF480	19	+	6	6	52819216:52824832	52819216:52820669|52820767:52824832	ENSP00000335670|ENSP00000417424|ENSP00000471754	ENSP00000473023	1	1	98	98
ENSG00000176601	MAP3K19	2	-	10	13	135739089:135749107	135739089:135741246|135739089:135740750|135739089:135741246|135740902:135741246|135741396:135743370|135741396:135749107|135745824:135749107	ENSP00000376649	ENSP00000351140|ENSP00000365004|ENSP00000365005|ENSP00000376647	1	3	150	2756
ENSG00000001626	CFTR	7	+	6	11	117182163:117199518	117182163:117188695|117188878:117199518	ENSP00000403677	ENSP00000003084|ENSP00000389119	1	1	183	183
ENSG00000188735	TMEM120B	12	+	4	7	122211420:122212968	122211420:122212564|122212629:122212968	ENSP00000442105	ENSP00000345152|ENSP00000404991	1	1	65	65
ENSG00000088726	TMEM40	3	-	6	9	12784007:12790154	12784007:12785399|12785489:12790154	ENSP00000405740	ENSP00000264728|ENSP00000322837|ENSP00000407396	1	1	90	90
ENSG00000102125	TAZ	X	+	13	25	153640344:153641544	153640344:153640423|153640552:153641544	ENSP00000358791	ENSP00000397388|ENSP00000411182	1	1	129	129
ENSG00000066427	ATXN3	14	-	32	47	92555162:92562437	92555162:92559596|92555162:92560090|92559663:92560090|92559663:92562437|92560176:92562437	ENSP00000450641|ENSP00000451693|ENSP00000451996	ENSP00000339110|ENSP00000376965|ENSP00000437157|ENSP00000445618|ENSP00000451103|ENSP00000451385|ENSP00000451417|ENSP00000451769|ENSP00000452356	1	2	67	153
ENSG00000134575	ACP2	11	-	11	15	47266419:47267233	47266419:47266856|47266946:47267025|47266946:47267233|47267124:47267233	ENSP00000436658	ENSP00000256997|ENSP00000432205|ENSP00000432439|ENSP00000436487	1	2	90	189
ENSG00000265551	FAM21C	HG1211_PATCH	+	6	9	46268807:46274401	46268807:46272721|46272874:46274401	ENSP00000462756	ENSP00000440306|ENSP00000461926|ENSP00000462907|ENSP00000464578	1	1	153	153
ENSG00000120699	EXOSC8	13	+	3	11	37574960:37576625	37574960:37576410|37576447:37576625	ENSP00000239893	ENSP00000374354	1	1	37	37
ENSG00000007372	PAX6	11	-	14	30	31823325:31824252	31823325:31823419|31823461:31824252	ENSP00000241001|ENSP00000368403|ENSP00000368406|ENSP00000368418|ENSP00000368427|ENSP00000431585	ENSP00000368401|ENSP00000368410|ENSP00000368424|ENSP00000397384|ENSP00000404100	1	1	42	42
ENSG00000197381	ADARB1	21	+	9	13	46591600:46600245	46591600:46595645|46596580:46600245	ENSP00000414600	ENSP00000015877|ENSP00000353920|ENSP00000374511|ENSP00000374513|ENSP00000435381|ENSP00000436367|ENSP00000441897	1	1	935	935
ENSG00000117139	KDM5B	1	-	4	10	202743864:202746145	202743864:202745233|202745349:202746145	ENSP00000356233|ENSP00000356234	ENSP00000473481	1	1	116	116
ENSG00000268256	SSX5	HG1436_HG1432_PATCH	-	4	4	48054254:48054689	48054254:48054406|48054529:48054689	ENSP00000472588|ENSP00000473180	ENSP00000469469	1	1	123	123
ENSG00000235307	BRD2	HSCHR6_MHC_SSTO	+	6	12	33086082:33087525	33086082:33086785|33086890:33087525	ENSP00000405634|ENSP00000449609|ENSP00000450326	ENSP00000412885|ENSP00000449380	1	1	105	105
ENSG00000206433	LST1	HSCHR6_MHC_QBL	+	22	25	31545339:31546519	31545339:31545661|31545339:31545964|31545754:31545964|31545754:31546519|31545987:31546519	ENSP00000372974|ENSP00000448721	ENSP00000372972|ENSP00000372976|ENSP00000372978|ENSP00000446772	1	2	23	116
ENSG00000104859	CLASRP	19	+	8	16	45571317:45572324	45571317:45571678|45571739:45572324	ENSP00000438702	ENSP00000375814	1	1	61	61
ENSG00000177947	ODF3	11	+	3	4	198586:199944	198586:199369|199510:199944	ENSP00000436588	ENSP00000325868	1	1	141	141
ENSG00000138433	CIR1	2	-	3	6	175216454:175243651	175216454:175234715|175234743:175243651	ENSP00000339723	ENSP00000355034	1	1	28	28
ENSG00000009790	TRAF3IP3	1	+	11	18	209952720:209954690	209952720:209953815|209953952:209954690	ENSP00000436982	ENSP00000010338|ENSP00000355991|ENSP00000355992|ENSP00000355993	1	1	137	137
ENSG00000152042	NBPF11	1	-	11	12	146035148:146036689	146035148:146035862|146035974:146035976|146036031:146036689	ENSP00000418802|ENSP00000474842	ENSP00000345181|ENSP00000358329|ENSP00000383795|ENSP00000474107|ENSP00000474953	1	2	167	169
ENSG00000196405	EVL	14	+	10	24	100603982:100607517	100603982:100604077|100604140:100607517	ENSP00000451821	ENSP00000376652|ENSP00000384720	1	1	63	63
ENSG00000110921	MVK	12	+	10	13	110013951:110023827	110013951:110017607|110017752:110019200|110017752:110023827|110019356:110023827	ENSP00000415555|ENSP00000443978	ENSP00000228510|ENSP00000376487|ENSP00000438153|ENSP00000443551	1	2	145	301
ENSG00000145362	ANK2	4	+	17	25	114294606:114302613	114294606:114295920|114294606:114299246|114296103:114302613|114296103:114299246|114299338:114302613	ENSP00000264366|ENSP00000349588|ENSP00000378044|ENSP00000421023|ENSP00000421067|ENSP00000426944	ENSP00000422486|ENSP00000422498|ENSP00000422853|ENSP00000422888	1	2	92	275
ENSG00000138041	SMEK2	2	-	3	6	55795500:55804451	55795500:55800755|55800914:55804451	ENSP00000272313	ENSP00000339769|ENSP00000385912	1	1	159	159
ENSG00000105058	FAM32A	19	+	5	5	16296577:16301698	16296577:16301331|16301385:16301698	ENSP00000464939	ENSP00000263384|ENSP00000465969	1	1	54	54
ENSG00000151882	CCL28	5	-	4	5	43382155:43388452	43382155:43384067|43384165:43388452	ENSP00000354416|ENSP00000422369|ENSP00000426424	ENSP00000443823	1	1	98	98
ENSG00000077157	PPP1R12B	1	+	8	18	202400748:202406949	202400748:202403784|202403897:202406949	ENSP00000349206	ENSP00000337897|ENSP00000417159|ENSP00000476755	1	1	113	113
ENSG00000111729	CLEC4A	12	+	5	5	8278274:8288181	8278274:8281860|8281959:8288181	ENSP00000247243	ENSP00000229332	1	1	99	99
ENSG00000167491	GATAD2A	19	+	14	16	19576424:19603390	19576424:19603115|19603248:19603390	ENSP00000411869	ENSP00000252577|ENSP00000351552|ENSP00000353463|ENSP00000384899|ENSP00000390495|ENSP00000403703|ENSP00000404212	1	1	133	133
ENSG00000262077	MLXIPL	HG1257_PATCH	-	9	12	73061437:73061822	73061437:73061596|73061744:73061822|73061747:73061822	ENSP00000461163	ENSP00000458258|ENSP00000458655|ENSP00000458686|ENSP00000459667|ENSP00000460010|ENSP00000460386	1	1	148	151
ENSG00000087157	PGS1	17	+	11	16	76388747:76394333	76388747:76392389|76392467:76394333	ENSP00000330039|ENSP00000465908|ENSP00000468431	ENSP00000262764|ENSP00000465266|ENSP00000466219	1	1	78	78
ENSG00000006283	CACNA1G	17	+	34	34	48697188:48701268	48697188:48699021|48699156:48701268	ENSP00000423112|ENSP00000423155|ENSP00000426172|ENSP00000426232|ENSP00000427173	ENSP00000347078|ENSP00000352011|ENSP00000420918	1	1	135	135
ENSG00000151322	NPAS3	14	+	12	14	33404210:33684388	33404210:33525111|33525201:33684388	ENSP00000448373	ENSP00000450392	1	1	90	90
ENSG00000164253	WDR41	5	-	18	29	76732220:76734065	76732220:76733161|76733250:76734065	ENSP00000425563	ENSP00000296679|ENSP00000392931|ENSP00000424287|ENSP00000426499|ENSP00000427291	1	1	89	89
ENSG00000087085	ACHE	7	-	13	14	100487957:100490786	100487957:100488790|100487957:100490329|100488960:100489955|100490176:100490786|100490440:100490786	ENSP00000397143	ENSP00000241069|ENSP00000394976|ENSP00000399725|ENSP00000403474|ENSP00000414858	1	2	111	655
ENSG00000065613	SLK	10	+	2	3	105768115:105777918	105768115:105770574|105770667:105777918	ENSP00000336824	ENSP00000358770	1	1	93	93
ENSG00000144445	KANSL1L	2	-	7	10	210894643:210905144	210894643:210896145|210896271:210905144	ENSP00000405724	ENSP00000281772	1	1	126	126
ENSG00000138674	SEC31A	4	-	32	43	83765663:83769957	83765663:83766354|83766447:83769957	ENSP00000309070|ENSP00000325087|ENSP00000337602|ENSP00000347329|ENSP00000378721|ENSP00000400926|ENSP00000407944|ENSP00000408027|ENSP00000421464|ENSP00000424451|ENSP00000424635|ENSP00000425999|ENSP00000426569|ENSP00000426886	ENSP00000264405|ENSP00000421633|ENSP00000425140	1	1	93	93
ENSG00000240403	KIR3DL2	19	+	2	2	55367368:55377260	55367368:55370534|55370585:55377260	ENSP00000270442	ENSP00000325525	1	1	51	51
ENSG00000163785	RYK	3	-	5	10	133894884:133901846	133894884:133896785|133896918:133901846	ENSP00000417836	ENSP00000296084|ENSP00000399527|ENSP00000419122|ENSP00000475203	1	1	133	133
ENSG00000143537	ADAM15	1	+	13	33	155033309:155034721	155033309:155034380|155033309:155033894|155033309:155033891|155033966:155034380|155033966:155034721|155034452:155034721	ENSP00000271836|ENSP00000357395|ENSP00000357398|ENSP00000432927	ENSP00000348227|ENSP00000349436|ENSP00000352226|ENSP00000403843	1	2	72	147
ENSG00000177459	C8orf47	8	+	2	2	99076956:99105449	99076956:99101304|99102258:99105449	ENSP00000440297	ENSP00000315614	1	1	954	954
ENSG00000163067	ZNF2	2	+	5	5	95843355:95846848	95843355:95845904|95846018:95846848	ENSP00000295210|ENSP00000406017	ENSP00000345392|ENSP00000381178	1	1	114	114
ENSG00000111913	FAM65B	6	-	6	8	24843783:24848253	24843783:24847770|24847920:24848253	ENSP00000367262|ENSP00000438425|ENSP00000441138|ENSP00000441305	ENSP00000259698	1	1	150	150
ENSG00000109083	IFT20	17	-	9	15	26656303:26657469	26656303:26657137|26657255:26657469	ENSP00000378809|ENSP00000463138|ENSP00000463322|ENSP00000464033|ENSP00000464147|ENSP00000464443	ENSP00000350570	1	1	118	118
ENSG00000029363	BCLAF1	6	-	15	23	136582616:136589300	136582616:136588167|136588314:136589300	ENSP00000229446|ENSP00000376159|ENSP00000435441|ENSP00000437333	ENSP00000031135|ENSP00000434826|ENSP00000435210|ENSP00000436501|ENSP00000437018	1	1	147	147
ENSG00000135486	HNRNPA1	12	+	10	14	54676659:54677596	54676659:54676863|54677019:54677596	ENSP00000333504|ENSP00000446486|ENSP00000448229|ENSP00000448617|ENSP00000449913	ENSP00000341826	1	1	156	156
ENSG00000078070	MCCC1	3	-	11	14	182790276:182812347	182790276:182804481|182804573:182812347|182804577:182810197|182810334:182812347	ENSP00000419658|ENSP00000420591	ENSP00000265594|ENSP00000420433|ENSP00000420648	1	2	92	233
ENSG00000111731	C2CD5	12	-	11	20	22646272:22666228	22646272:22655673|22646272:22659645|22655739:22659645|22659754:22666228|22659754:22665581|22659754:22666228|22665614:22666228	ENSP00000438256	ENSP00000334229|ENSP00000379345|ENSP00000388756|ENSP00000439392|ENSP00000441951|ENSP00000443204|ENSP00000444857|ENSP00000445288	1	3	109	208
ENSG00000113360	DROSHA	5	-	7	21	31515327:31526186	31515327:31515561|31515327:31521230|31515672:31521230|31515672:31526186|31521323:31526186	ENSP00000422745	ENSP00000339845|ENSP00000409335|ENSP00000424161|ENSP00000425979|ENSP00000428782	1	2	93	204
ENSG00000267508	ZNF285	19	-	5	6	44896631:44901364	44896631:44898683|44898704:44901364	ENSP00000333595|ENSP00000439431	ENSP00000464788|ENSP00000467795	1	1	21	21
ENSG00000141401	IMPA2	18	+	7	11	12009987:12014264	12009987:12012169|12012215:12014264	ENSP00000465938	ENSP00000269159|ENSP00000464754	1	1	46	46
ENSG00000165898	ISCA2	14	+	3	4	74960856:74961529	74960856:74960978|74961094:74961529	ENSP00000450523	ENSP00000452007	1	1	116	116
ENSG00000015568	RGPD5	2	+	7	13	110552115:110561009	110552115:110559360|110552115:110559363|110552115:110559360|110559428:110561009	ENSP00000411548	ENSP00000016946|ENSP00000272454|ENSP00000376962|ENSP00000392556	1	1	65	68
ENSG00000157181	C1orf27	1	+	4	6	186352289:186357574	186352289:186355120|186355216:186357574	ENSP00000395084	ENSP00000287859|ENSP00000356440|ENSP00000402029	1	1	96	96
ENSG00000072571	HMMR	5	+	6	8	162891809:162896647	162891809:162894707|162891809:162894710|162894755:162896647	ENSP00000185942	ENSP00000351554|ENSP00000377492	1	1	45	48
ENSG00000011426	ANLN	7	+	10	13	36466638:36478813	36466638:36467916|36467970:36478813	ENSP00000265748|ENSP00000379380|ENSP00000413522	ENSP00000399553	1	1	54	54
ENSG00000120942	UBIAD1	1	+	4	4	11334118:11354930	11334118:11345701|11345790:11354930	ENSP00000366000	ENSP00000473453	1	1	89	89
ENSG00000103534	TMC5	16	+	9	11	19471657:19474602	19471657:19473825|19473888:19474602	ENSP00000219821|ENSP00000370822|ENSP00000379531|ENSP00000441227|ENSP00000446274|ENSP00000456148	ENSP00000454710	1	1	63	63
ENSG00000232070	TMEM253	14	+	3	6	21569611:21570223	21569611:21570024|21570135:21570223	ENSP00000453121	ENSP00000451229|ENSP00000453962	1	1	111	111
ENSG00000197599	CCDC154	16	-	3	4	1485177:1486446	1485177:1485970|1486088:1486446	ENSP00000456484	ENSP00000386744	1	1	118	118
ENSG00000111877	MCM9	6	-	5	8	119148028:119150211	119148028:119149090|119149294:119150211	ENSP00000406576	ENSP00000314505	1	1	204	204
ENSG00000177728	KIAA0195	17	+	16	33	73482508:73485347	73482508:73484013|73484216:73484840|73484992:73485347	ENSP00000464491	ENSP00000313885|ENSP00000364397	2	2	355	355
ENSG00000074370	ATP2A3	17	-	9	16	3828736:3831957	3828736:3831534|3828736:3831275|3828736:3831521|3831333:3831957|3831333:3831534|3831333:3831521|3831622:3831957	ENSP00000380234	ENSP00000301387|ENSP00000312577|ENSP00000353072|ENSP00000380229|ENSP00000380232|ENSP00000458865|ENSP00000461480	1	2	58	159
ENSG00000149547	EI24	11	+	8	19	125445305:125446151	125445305:125445699|125445828:125446151	ENSP00000278903|ENSP00000364081|ENSP00000433376|ENSP00000435034|ENSP00000435225	ENSP00000435923	1	1	129	129
ENSG00000007350	TKTL1	X	+	6	9	153533774:153543523	153533774:153537697|153537795:153539187|153539379:153539462|153539590:153540931|153541125:153543523	ENSP00000217905	ENSP00000358928|ENSP00000358931	4	4	612	612
ENSG00000160588	MPZL3	11	-	4	4	118104239:118122937	118104239:118106139|118106305:118107765|118107976:118110926|118111057:118122937|118111093:118122937	ENSP00000434636	ENSP00000278949|ENSP00000432106	3	3	508	544
ENSG00000085276	MECOM	3	-	17	19	168820015:168830575	168820015:168825714|168825741:168830575	ENSP00000417899|ENSP00000419770|ENSP00000420466	ENSP00000264674|ENSP00000376493|ENSP00000394302|ENSP00000419995|ENSP00000420048	1	1	27	27
ENSG00000171466	ZNF562	19	-	12	12	9764558:9768685	9764558:9767223|9767330:9768685	ENSP00000468039	ENSP00000410734|ENSP00000411784|ENSP00000440451|ENSP00000442614|ENSP00000466911	1	1	107	107
ENSG00000154269	ENPP3	6	+	7	9	132047341:132058495	132047341:132054728|132054864:132058495	ENSP00000350964	ENSP00000350265|ENSP00000406261	1	1	136	136
ENSG00000162852	CNST	1	+	3	4	246755244:246795196	246755244:246784731|246784937:246795196	ENSP00000355468	ENSP00000355469|ENSP00000355470	1	1	206	206
ENSG00000106799	TGFBR1	9	+	10	10	101907171:101909936	101907171:101908767|101908892:101909936	ENSP00000446685	ENSP00000364129|ENSP00000364133|ENSP00000447297|ENSP00000450052	1	1	125	125
ENSG00000102606	ARHGEF7	13	+	17	21	111920018:111927078	111920018:111926161|111926300:111927078	ENSP00000445384	ENSP00000218789|ENSP00000325994|ENSP00000359657|ENSP00000364875|ENSP00000364888|ENSP00000364889|ENSP00000364891|ENSP00000364893|ENSP00000397068|ENSP00000417596|ENSP00000418067	1	1	139	139
ENSG00000230885	MOG	HSCHR6_MHC_MANN	+	13	17	29635262:29638759	29635262:29637511|29635262:29637618|29635262:29638038|29637559:29638038|29637735:29638038|29638059:29638759	ENSP00000413370|ENSP00000447214	ENSP00000402139|ENSP00000404362|ENSP00000409534	1	2	21	138
ENSG00000224320	HLA-A	HSCHR6_MHC_COX	+	6	10	29901723:29902384	29901723:29901825|29901942:29902384|29901960:29902384	ENSP00000448516	ENSP00000388724|ENSP00000404678|ENSP00000447635	1	1	117	135
ENSG00000169908	TM4SF1	3	-	4	4	149089655:149093467	149089655:149093230|149093376:149093467	ENSP00000419426	ENSP00000304277	1	1	146	146
ENSG00000189144	ZNF573	19	-	12	19	38231096:38262204	38231096:38260645|38260738:38262204	ENSP00000375983	ENSP00000367706|ENSP00000465020	1	1	93	93
ENSG00000105793	GTPBP10	7	+	9	12	89982324:89984400	89982324:89983772|89983864:89984400	ENSP00000411091|ENSP00000416713	ENSP00000222511|ENSP00000389510|ENSP00000405697	1	1	92	92
ENSG00000138303	ASCC1	10	-	17	20	73862171:73887840	73862171:73862608|73862726:73887840	ENSP00000436409	ENSP00000339404|ENSP00000378373	1	1	118	118
ENSG00000257017	HP	16	+	12	16	72092255:72093013	72092255:72092464|72092572:72093013	ENSP00000348170|ENSP00000454413|ENSP00000456503|ENSP00000457629|ENSP00000461999|ENSP00000462662|ENSP00000463491|ENSP00000463755	ENSP00000350406	1	1	108	108
ENSG00000100565	C14orf166B	14	+	7	8	77304315:77311163	77304315:77310766|77310816:77311163	ENSP00000396260	ENSP00000377369	1	1	50	50
ENSG00000070950	RAD18	3	-	7	10	8954057:8977555	8954057:8955328|8955405:8977555	ENSP00000402049	ENSP00000264926	1	1	77	77
ENSG00000167130	DOLPP1	9	+	5	6	131847048:131847486	131847048:131847302|131847387:131847486	ENSP00000333294|ENSP00000403278	ENSP00000361625|ENSP00000384043	1	1	85	85
ENSG00000107736	CDH23	10	+	8	11	73377151:73403618	73377151:73394995|73395055:73403618	ENSP00000224721|ENSP00000299366|ENSP00000381789|ENSP00000473454	ENSP00000473539	1	1	60	60
ENSG00000067177	PHKA1	X	-	5	5	71813125:71821841	71813125:71819666|71819717:71821841	ENSP00000362643	ENSP00000362640|ENSP00000362646	1	1	51	51
ENSG00000186038	HTR3E	3	+	6	6	183818440:183821970	183818440:183819273|183819318:183821970	ENSP00000395833|ENSP00000401900|ENSP00000406050	ENSP00000335511|ENSP00000391254|ENSP00000401444	1	1	45	45
ENSG00000233813	MRPS18B	HSCHR6_MHC_DBB	+	2	5	30577825:30580850	30577825:30577939|30578008:30580850	ENSP00000398781	ENSP00000398494	1	1	69	69
ENSG00000102879	CORO1A	16	+	8	17	30196729:30198137	30196729:30197919|30198042:30198137	ENSP00000457332	ENSP00000219150|ENSP00000454752|ENSP00000455552|ENSP00000456266|ENSP00000456457|ENSP00000456756|ENSP00000457509	1	1	123	123
ENSG00000161395	PGAP3	17	-	7	10	37829120:37840850	37829120:37829304|37829509:37829767|37829904:37830246|37830308:37830870|37830308:37840850|37830933:37840850	ENSP00000463234	ENSP00000300658|ENSP00000415765	3	4	404	467
ENSG00000146776	ATXN7L1	7	-	8	12	105255264:105260647	105255264:105258239|105258545:105260647	ENSP00000410759|ENSP00000418476|ENSP00000419566	ENSP00000373459|ENSP00000418900	1	1	306	306
ENSG00000125434	SLC25A35	17	-	7	8	8193303:8194160	8193303:8193933|8193303:8193921|8193997:8194160	ENSP00000369407|ENSP00000462395|ENSP00000464071	ENSP00000379574|ENSP00000464191|ENSP00000464307	1	1	64	76
